"month_start","tagname","group_name","questions","answers","total_q_a"
2018-01-01,c#,alto_recurso,9344,10211,19555
2018-01-01,java,alto_recurso,12308,13895,26203
2018-01-01,javascript,alto_recurso,18831,23779,42610
2018-01-01,python,alto_recurso,16177,19016,35193
2018-01-01,bash,baixo_moderado,1247,1830,3077
2018-01-01,dart,baixo_moderado,63,63,126
2018-01-01,julia,baixo_moderado,94,110,204
2018-01-01,r,baixo_moderado,4194,4666,8860
2018-02-01,c#,alto_recurso,8552,9578,18130
2018-02-01,java,alto_recurso,11997,14052,26049
2018-02-01,javascript,alto_recurso,17179,22332,39511
2018-02-01,python,alto_recurso,16253,19762,36015
2018-02-01,bash,baixo_moderado,1178,1679,2857
2018-02-01,dart,baixo_moderado,105,96,201
2018-02-01,julia,baixo_moderado,85,99,184
2018-02-01,r,baixo_moderado,4492,5379,9871
2018-03-01,c#,alto_recurso,9754,10806,20560
2018-03-01,java,alto_recurso,13511,15692,29203
2018-03-01,javascript,alto_recurso,19081,25722,44803
2018-03-01,python,alto_recurso,17850,21635,39485
2018-03-01,bash,baixo_moderado,1246,1732,2978
2018-03-01,dart,baixo_moderado,310,315,625
2018-03-01,julia,baixo_moderado,79,84,163
2018-03-01,r,baixo_moderado,5091,5992,11083
2018-04-01,c#,alto_recurso,9203,10045,19248
2018-04-01,java,alto_recurso,13441,16006,29447
2018-04-01,javascript,alto_recurso,17906,23805,41711
2018-04-01,python,alto_recurso,16908,20403,37311
2018-04-01,bash,baixo_moderado,1162,1678,2840
2018-04-01,dart,baixo_moderado,346,400,746
2018-04-01,julia,baixo_moderado,97,103,200
2018-04-01,r,baixo_moderado,4719,5545,10264
2018-05-01,c#,alto_recurso,9896,11048,20944
2018-05-01,java,alto_recurso,13425,16020,29445
2018-05-01,javascript,alto_recurso,18017,23709,41726
2018-05-01,python,alto_recurso,17518,21169,38687
2018-05-01,bash,baixo_moderado,1093,1605,2698
2018-05-01,dart,baixo_moderado,423,455,878
2018-05-01,julia,baixo_moderado,74,68,142
